Transaction_ID,Date,SKU_ID,Category,Brand,Competitor_Brand,Competitor_Price,Massmart_Price,Cost_Price,Gross_Margin,Units_Sold,Promotion_Flag,Promo_Type,Store_Region,Channel,Stock_On_Hand,Weather_Index,Season,Customer_Segment,Return_Rate
TXN101040,2024-01-11,BEV_908,Beverages,CoolSip,CompD,87.16,84.56,70.71,0.164,169,0,None,Gauteng,In-store,338,0.83,Summer,Premium,0.033
TXN101293,2024-01-12,PER_192,Personal Care,BodyCare,CompE,192.06,200.56,153.2,0.236,37,0,None,Western Cape,In-store,111,0.59,Summer,Mid-tier,0.041
TXN102382,2024-01-12,DAI_131,Dairy,MilkyWay,CompA,34.56,34.58,25.16,0.272,38,0,None,Gauteng,In-store,76,0.41,Summer,Mid-tier,0.024
TXN100483,2024-01-13,HOU_501,Household,SparkPro,CompB,30.0,31.88,25.85,0.189,32,0,None,Western Cape,Online,96,0.48,Summer,Mid-tier,0.035
TXN100590,2024-01-13,BEV_459,Beverages,CoolSip,CompC,116.01,113.07,100.4,0.112,130,0,None,Eastern Cape,In-store,650,0.76,Summer,Premium,0.017
TXN100002,2024-01-13,DAI_638,Dairy,DairyDelight,CompD,57.4,56.17,45.09,0.197,43,0,None,Mpumalanga,In-store,86,0.41,Summer,Value,0.026
TXN100463,2024-01-13,SNA_952,Snacks,CrunchTime,CompB,6.51,7.26,5.14,0.292,96,0,None,Eastern Cape,Online,288,0.58,Summer,Value,0.007
TXN101373,2024-01-13,HOU_449,Household,CleanEase,CompC,132.11,139.17,125.69,0.097,26,0,None,Eastern Cape,In-store,130,0.5,Summer,Mid-tier,0.024
TXN101602,2024-01-14,HOU_846,Household,EcoHome,CompE,296.34,289.91,254.87,0.121,35,0,None,KwaZulu-Natal,In-store,35,0.41,Summer,Premium,0.038
TXN100767,2024-01-14,DAI_142,Dairy,DairyDelight,CompA,65.13,64.73,45.84,0.292,51,0,None,KwaZulu-Natal,In-store,255,0.48,Summer,Mid-tier,0.023
TXN101965,2024-01-14,BEV_341,Beverages,CoolSip,CompE,117.25,114.96,94.02,0.182,150,0,None,Western Cape,Online,300,0.76,Summer,Mid-tier,0.035
TXN102481,2024-01-14,PER_187,Personal Care,SoftTouch,CompD,201.63,207.88,157.86,0.241,24,0,None,Mpumalanga,In-store,24,0.46,Summer,Value,0.032
TXN102186,2024-01-14,PER_691,Personal Care,BodyCare,CompE,214.87,210.35,148.38,0.295,56,0,None,Gauteng,In-store,56,0.51,Summer,Mid-tier,0.032
TXN100020,2024-01-14,SNA_783,Snacks,CrunchTime,CompA,17.12,17.31,15.87,0.083,112,0,None,Mpumalanga,In-store,224,0.69,Summer,Mid-tier,0.028
TXN102235,2024-01-14,BEV_101,Beverages,FizzUp,CompC,41.37,42.03,25.6,0.391,185,0,None,KwaZulu-Natal,In-store,740,0.78,Summer,Value,0.021
TXN101034,2024-01-14,SNA_858,Snacks,CrunchTime,CompB,42.36,45.02,39.4,0.125,63,0,None,Gauteng,In-store,315,0.51,Summer,Mid-tier,0.032
TXN100712,2024-01-14,SNA_137,Snacks,MunchBox,CompD,25.98,26.0,16.72,0.357,100,0,None,Mpumalanga,In-store,500,0.58,Summer,Value,0.024
TXN100707,2024-01-14,BEV_812,Beverages,AquaPure,CompB,79.92,77.08,50.13,0.35,139,0,None,KwaZulu-Natal,In-store,278,0.78,Summer,Premium,0.026
TXN101465,2024-01-14,SNA_669,Snacks,TreatsCo,CompE,30.53,31.45,23.05,0.267,90,0,None,Mpumalanga,In-store,180,0.64,Summer,Premium,0.023
TXN101231,2024-01-15,BEV_139,Beverages,FizzUp,CompD,117.08,120.33,100.33,0.166,187,1,Multi-buy,Western Cape,In-store,935,0.79,Summer,Mid-tier,0.015
TXN100498,2024-01-15,PER_960,Personal Care,BodyCare,CompD,108.97,106.05,66.66,0.371,39,0,None,Gauteng,In-store,78,0.49,Summer,Value,0.047
TXN101976,2024-01-15,DAI_306,Dairy,MilkyWay,CompA,66.39,71.89,54.28,0.245,48,0,None,Eastern Cape,In-store,144,0.45,Summer,Value,0.031
TXN101607,2024-01-15,BEV_794,Beverages,BrewMaster,CompD,9.08,9.08,7.44,0.181,171,0,None,Eastern Cape,In-store,684,0.77,Summer,Value,0.017
TXN100830,2024-01-15,PER_683,Personal Care,BodyCare,CompD,106.55,103.94,72.82,0.299,44,0,None,Gauteng,In-store,132,0.49,Summer,Mid-tier,0.037
TXN102309,2024-01-15,DAI_495,Dairy,MilkyWay,CompC,78.91,76.08,52.3,0.313,42,0,None,Eastern Cape,In-store,84,0.46,Summer,Mid-tier,0.015
TXN101105,2024-01-15,PER_460,Personal Care,PureSkin,CompC,136.5,121.1,108.86,0.101,63,0,None,Eastern Cape,In-store,315,0.52,Summer,Value,0.034
TXN100696,2024-01-15,PER_192,Personal Care,PureSkin,CompD,164.43,168.18,120.61,0.283,52,0,None,Eastern Cape,In-store,260,0.49,Summer,Mid-tier,0.034
TXN100014,2024-01-16,BEV_391,Beverages,CoolSip,CompD,39.9,40.1,30.44,0.241,147,0,None,KwaZulu-Natal,In-store,735,0.78,Summer,Premium,0.01
TXN101497,2024-01-16,HOU_650,Household,SparkPro,CompA,337.22,322.35,254.64,0.21,30,0,None,Mpumalanga,Online,120,0.47,Summer,Mid-tier,0.025
TXN101623,2024-01-16,PER_934,Personal Care,GlowWell,CompB,206.27,187.76,166.15,0.115,119,0,None,KwaZulu-Natal,In-store,119,0.57,Summer,Value,0.037
TXN100742,2024-01-16,PER_828,Personal Care,SoftTouch,CompD,29.33,30.75,27.98,0.09,44,1,Flash Sale,KwaZulu-Natal,In-store,44,0.47,Summer,Value,0.017
TXN102321,2024-01-16,SNA_307,Snacks,Snackster,CompC,69.81,67.0,50.42,0.247,140,0,None,Gauteng,Online,560,0.69,Summer,Value,0.008
TXN102153,2024-01-16,DAI_759,Dairy,FarmFresh,CompA,20.04,19.31,16.93,0.123,54,0,None,Eastern Cape,In-store,54,0.51,Summer,Premium,0.037
TXN100985,2024-01-17,DAI_990,Dairy,FarmFresh,CompE,8.01,8.39,6.23,0.257,40,0,None,Western Cape,In-store,160,0.42,Summer,Mid-tier,0.034
TXN100102,2024-01-17,HOU_560,Household,HomeFresh,CompC,367.46,375.67,228.88,0.391,20,1,Multi-buy,Gauteng,In-store,20,0.49,Summer,Premium,0.006
TXN100013,2024-01-17,SNA_866,Snacks,Snackster,CompC,30.32,30.08,22.68,0.246,78,0,None,Mpumalanga,In-store,78,0.67,Summer,Premium,0.016
TXN102167,2024-01-17,PER_959,Personal Care,PureSkin,CompA,211.25,214.89,152.14,0.292,40,0,None,Mpumalanga,In-store,40,0.45,Summer,Value,0.035
TXN101414,2024-01-17,HOU_905,Household,HomeFresh,CompB,45.07,47.56,30.08,0.368,21,1,Discount,Western Cape,In-store,63,0.38,Summer,Mid-tier,0.028
TXN100237,2024-01-17,HOU_736,Household,EcoHome,CompC,366.62,384.09,264.38,0.312,13,0,None,Western Cape,In-store,13,0.51,Summer,Premium,0.01
TXN101323,2024-01-18,BEV_491,Beverages,AquaPure,CompE,83.48,73.65,52.81,0.283,355,1,Discount,Gauteng,In-store,1065,0.88,Summer,Value,0.034
TXN102158,2024-01-18,HOU_134,Household,HomeFresh,CompA,274.67,278.24,181.18,0.349,27,0,None,Mpumalanga,In-store,108,0.41,Summer,Value,0.012
TXN100437,2024-01-19,BEV_987,Beverages,BrewMaster,CompE,41.19,41.04,32.07,0.219,201,0,None,KwaZulu-Natal,Online,603,0.8,Summer,Mid-tier,0.026
TXN101213,2024-01-19,BEV_829,Beverages,FizzUp,CompC,100.54,94.39,70.25,0.256,173,0,None,Mpumalanga,In-store,519,0.76,Summer,Value,0.029
TXN102092,2024-01-19,PER_882,Personal Care,SoftTouch,CompE,205.06,217.57,176.36,0.189,30,1,Discount,KwaZulu-Natal,In-store,90,0.49,Summer,Value,0.049
TXN101073,2024-01-19,DAI_720,Dairy,Creamy,CompA,86.49,85.8,77.66,0.095,47,0,None,KwaZulu-Natal,In-store,235,0.44,Summer,Mid-tier,0.026
TXN101181,2024-01-19,SNA_136,Snacks,Snackster,CompB,8.74,8.7,7.05,0.19,136,0,None,Gauteng,Online,544,0.73,Summer,Mid-tier,0.036
TXN102079,2024-01-19,HOU_446,Household,EcoHome,CompB,159.17,159.56,119.46,0.251,33,0,None,KwaZulu-Natal,In-store,33,0.56,Summer,Premium,0.011
TXN102443,2024-01-20,PER_617,Personal Care,SoftTouch,CompE,189.49,211.8,187.62,0.114,20,0,None,Mpumalanga,Online,60,0.47,Summer,Mid-tier,0.046
TXN101900,2024-01-20,PER_541,Personal Care,GlowWell,CompC,78.27,80.02,49.04,0.387,45,0,None,KwaZulu-Natal,In-store,45,0.56,Summer,Value,0.024
TXN101390,2024-01-20,SNA_890,Snacks,Snackster,CompA,63.9,63.3,53.95,0.148,76,0,None,Western Cape,Online,228,0.64,Summer,Premium,0.021
TXN101787,2024-01-20,PER_212,Personal Care,SoftTouch,CompC,242.9,245.07,170.37,0.305,31,0,None,Gauteng,In-store,155,0.49,Summer,Mid-tier,0.028
TXN101984,2024-01-20,BEV_557,Beverages,AquaPure,CompB,105.38,107.82,96.59,0.104,159,0,None,KwaZulu-Natal,Online,795,0.8,Summer,Mid-tier,0.022
TXN100474,2024-01-20,DAI_441,Dairy,MilkyWay,CompD,21.89,21.99,15.98,0.273,52,0,None,Western Cape,In-store,52,0.54,Summer,Premium,0.009
TXN100504,2024-01-20,DAI_576,Dairy,FarmFresh,CompE,43.83,42.2,30.25,0.283,64,0,None,Eastern Cape,In-store,320,0.51,Summer,Value,0.015
TXN100447,2024-01-21,SNA_679,Snacks,MunchBox,CompB,45.6,44.66,27.57,0.383,103,0,None,Gauteng,In-store,206,0.66,Summer,Value,0.009
TXN101044,2024-01-21,DAI_586,Dairy,DairyDelight,CompE,38.27,38.95,34.73,0.108,46,1,Bundle,Mpumalanga,In-store,184,0.45,Summer,Premium,0.018
TXN100343,2024-01-21,DAI_614,Dairy,MilkyWay,CompC,28.64,29.5,25.08,0.15,49,0,None,Gauteng,In-store,98,0.4,Summer,Value,0.032
TXN101029,2024-01-21,BEV_660,Beverages,CoolSip,CompA,35.93,36.51,32.74,0.103,252,1,Flash Sale,Western Cape,In-store,756,0.83,Summer,Value,0.029
TXN102441,2024-01-21,PER_706,Personal Care,SoftTouch,CompC,139.33,148.17,115.18,0.223,24,0,None,Mpumalanga,In-store,24,0.43,Summer,Mid-tier,0.04
TXN101320,2024-01-21,PER_849,Personal Care,BodyCare,CompA,245.52,248.76,178.13,0.284,42,0,None,Gauteng,In-store,168,0.44,Summer,Mid-tier,0.045
TXN100741,2024-01-21,PER_207,Personal Care,SoftTouch,CompC,245.0,244.45,196.41,0.197,35,0,None,Western Cape,Online,70,0.44,Summer,Mid-tier,0.046
TXN101820,2024-01-21,PER_158,Personal Care,BodyCare,CompE,172.65,165.78,106.04,0.36,48,0,None,Western Cape,Online,96,0.53,Summer,Value,0.032
TXN100786,2024-01-22,BEV_418,Beverages,CoolSip,CompA,17.81,18.44,15.73,0.147,172,0,None,Eastern Cape,In-store,172,0.81,Summer,Mid-tier,0.031
TXN102084,2024-01-22,SNA_352,Snacks,TreatsCo,CompA,70.09,69.14,55.84,0.192,106,0,None,Mpumalanga,In-store,212,0.62,Summer,Value,0.007
TXN101697,2024-01-22,SNA_505,Snacks,MunchBox,CompB,57.94,55.31,48.35,0.126,147,0,None,Western Cape,Online,294,0.63,Summer,Value,0.029
TXN101801,2024-01-22,BEV_689,Beverages,FizzUp,CompC,78.26,76.56,50.41,0.342,204,0,None,Eastern Cape,Online,612,0.83,Summer,Value,0.03
TXN102138,2024-01-22,HOU_530,Household,CleanEase,CompE,62.7,60.46,49.68,0.178,34,0,None,Eastern Cape,Online,102,0.58,Summer,Value,0.016
TXN102308,2024-01-22,HOU_523,Household,SparkPro,CompA,295.65,285.15,198.89,0.303,43,0,None,KwaZulu-Natal,Online,215,0.51,Summer,Mid-tier,0.023
TXN100444,2024-01-22,HOU_283,Household,HomeFresh,CompD,102.31,99.28,77.3,0.221,36,0,None,Gauteng,Online,72,0.51,Summer,Mid-tier,0.007
TXN101914,2024-01-23,DAI_719,Dairy,MilkyWay,CompB,59.48,60.63,52.07,0.141,41,0,None,Mpumalanga,In-store,205,0.4,Summer,Mid-tier,0.023
TXN101491,2024-01-23,DAI_930,Dairy,DairyDelight,CompE,84.32,86.33,64.47,0.253,51,0,None,Western Cape,In-store,255,0.4,Summer,Value,0.018
TXN102082,2024-01-23,SNA_601,Snacks,Snackster,CompB,27.03,26.96,20.73,0.231,123,0,None,KwaZulu-Natal,In-store,615,0.67,Summer,Value,0.019
TXN101171,2024-01-23,BEV_647,Beverages,FizzUp,CompE,103.71,111.66,98.78,0.115,138,1,Flash Sale,Gauteng,In-store,138,0.82,Summer,Mid-tier,0.009
TXN102064,2024-01-23,SNA_296,Snacks,Snackster,CompE,17.44,16.64,11.74,0.294,83,0,None,KwaZulu-Natal,In-store,83,0.6,Summer,Mid-tier,0.023
TXN102048,2024-01-23,SNA_425,Snacks,TreatsCo,CompA,68.24,69.12,58.57,0.153,99,0,None,Mpumalanga,In-store,297,0.69,Summer,Premium,0.02
TXN100518,2024-01-23,HOU_851,Household,CleanEase,CompE,336.15,355.94,297.58,0.164,16,0,None,KwaZulu-Natal,In-store,80,0.49,Summer,Mid-tier,0.025
TXN100048,2024-01-23,HOU_676,Household,HomeFresh,CompB,218.16,223.33,168.08,0.247,30,0,None,Mpumalanga,In-store,30,0.5,Summer,Mid-tier,0.025
TXN100419,2024-01-23,BEV_661,Beverages,CoolSip,CompD,66.85,68.87,45.9,0.334,194,0,None,Gauteng,In-store,388,0.81,Summer,Mid-tier,0.005
TXN101389,2024-01-24,PER_351,Personal Care,PureSkin,CompC,183.74,183.7,141.1,0.232,54,0,None,Western Cape,In-store,162,0.59,Summer,Mid-tier,0.02
TXN100911,2024-01-24,SNA_875,Snacks,MunchBox,CompD,68.86,72.48,60.54,0.165,109,0,None,Western Cape,In-store,545,0.67,Summer,Value,0.031
TXN102409,2024-01-24,BEV_485,Beverages,CoolSip,CompD,119.86,116.75,106.78,0.085,185,0,None,Mpumalanga,In-store,555,0.77,Summer,Value,0.015
TXN101232,2024-01-24,PER_998,Personal Care,SoftTouch,CompC,83.06,88.13,63.93,0.275,37,0,None,Eastern Cape,In-store,111,0.46,Summer,Mid-tier,0.032
TXN101668,2024-01-24,SNA_960,Snacks,MunchBox,CompB,27.65,28.74,22.51,0.217,128,0,None,KwaZulu-Natal,In-store,640,0.73,Summer,Value,0.013
TXN100063,2024-01-24,HOU_909,Household,CleanEase,CompA,108.35,104.25,95.24,0.086,34,0,None,Eastern Cape,In-store,102,0.43,Summer,Mid-tier,0.036
TXN102311,2024-01-24,PER_494,Personal Care,BodyCare,CompD,242.93,251.33,202.79,0.193,21,0,None,Mpumalanga,Online,63,0.47,Summer,Mid-tier,0.027
TXN102442,2024-01-24,SNA_607,Snacks,TreatsCo,CompD,37.2,40.69,30.52,0.25,115,0,None,Gauteng,In-store,575,0.61,Summer,Value,0.039
TXN100591,2024-01-24,SNA_922,Snacks,TreatsCo,CompD,78.6,73.97,64.11,0.133,163,1,Multi-buy,Eastern Cape,In-store,652,0.74,Summer,Value,0.007
TXN102391,2024-01-25,HOU_323,Household,SparkPro,CompA,198.59,181.92,154.38,0.151,85,0,None,KwaZulu-Natal,In-store,425,0.55,Summer,Value,0.03
TXN102097,2024-01-25,BEV_629,Beverages,FizzUp,CompE,100.01,95.32,83.27,0.126,137,0,None,KwaZulu-Natal,In-store,685,0.82,Summer,Premium,0.04
TXN102008,2024-01-25,BEV_286,Beverages,BrewMaster,CompC,118.04,120.84,78.27,0.352,165,0,None,Eastern Cape,In-store,825,0.88,Summer,Mid-tier,0.009
TXN100133,2024-01-25,BEV_867,Beverages,FizzUp,CompC,119.59,119.82,102.58,0.144,171,0,None,Gauteng,Online,171,0.81,Summer,Mid-tier,0.03
TXN100617,2024-01-26,DAI_319,Dairy,DairyDelight,CompE,34.06,33.61,20.71,0.384,51,0,None,Western Cape,In-store,51,0.43,Summer,Value,0.006
TXN101642,2024-01-26,PER_696,Personal Care,SoftTouch,CompD,135.23,124.49,106.55,0.144,64,0,None,KwaZulu-Natal,In-store,64,0.54,Summer,Value,0.039
TXN101300,2024-01-26,BEV_407,Beverages,FizzUp,CompE,61.91,56.99,41.63,0.27,177,0,None,Mpumalanga,In-store,885,0.84,Summer,Premium,0.01
TXN100719,2024-01-26,BEV_605,Beverages,BrewMaster,CompC,93.69,90.67,64.61,0.287,174,0,None,Gauteng,In-store,870,0.66,Summer,Value,0.008
TXN101441,2024-01-26,BEV_633,Beverages,AquaPure,CompC,21.34,21.26,14.79,0.304,208,1,None,Eastern Cape,In-store,1040,0.72,Summer,Value,0.024
TXN100287,2024-01-26,BEV_326,Beverages,FizzUp,CompE,40.36,41.86,25.21,0.398,160,0,None,Mpumalanga,In-store,320,0.79,Summer,Mid-tier,0.031
TXN102392,2024-01-26,HOU_193,Household,CleanEase,CompA,158.19,159.84,97.25,0.392,26,0,None,KwaZulu-Natal,In-store,104,0.43,Summer,Premium,0.036
TXN100322,2024-01-26,PER_853,Personal Care,PureSkin,CompB,195.82,212.95,178.18,0.163,7,0,None,Eastern Cape,Online,7,0.45,Summer,Premium,0.038
TXN102364,2024-01-26,PER_451,Personal Care,SoftTouch,CompC,152.32,158.29,97.07,0.387,36,0,None,Gauteng,In-store,108,0.52,Summer,Value,0.03
TXN101638,2024-01-27,PER_121,Personal Care,PureSkin,CompE,148.66,162.17,146.28,0.098,27,0,None,Gauteng,In-store,81,0.52,Summer,Premium,0.023
TXN101095,2024-01-27,SNA_376,Snacks,TreatsCo,CompB,49.8,54.52,42.59,0.219,68,0,None,KwaZulu-Natal,In-store,340,0.64,Summer,Premium,0.012
TXN100735,2024-01-27,SNA_186,Snacks,MunchBox,CompA,37.55,37.71,31.26,0.171,108,0,None,KwaZulu-Natal,Online,432,0.6,Summer,Mid-tier,0.033
TXN101475,2024-01-27,DAI_884,Dairy,Creamy,CompE,85.08,90.06,73.0,0.189,36,0,None,Gauteng,In-store,180,0.46,Summer,Premium,0.013
TXN100414,2024-01-27,HOU_431,Household,EcoHome,CompE,348.24,340.35,239.44,0.296,56,0,None,Western Cape,In-store,224,0.54,Summer,Value,0.02
TXN102489,2024-01-27,PER_224,Personal Care,GlowWell,CompC,218.69,218.06,164.96,0.244,43,0,None,Gauteng,In-store,43,0.48,Summer,Value,0.039
TXN101837,2024-01-27,DAI_260,Dairy,DairyDelight,CompC,23.51,22.79,20.49,0.101,47,0,None,Gauteng,Online,141,0.43,Summer,Premium,0.028
